Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),
1,0.00,0.000,0,10.44,0.00,2669,0.000,0.000,0.000,
1,0.00,0.000,0,10.44,0.00,2669,0.000,0.000,0.000,
1,0.00,0.000,0,12.06,0.00,3069,0.000,0.000,0.000,
1,0.00,0.000,0,12.06,0.00,3069,0.000,0.000,0.000,
1,0.00,0.000,0,12.24,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.24,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.42,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.42,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.60,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.60,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.78,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.78,0.00,3269,0.000,0.000,0.000,
1,0.00,0.000,0,12.96,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,12.96,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.14,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.14,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.32,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.32,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.50,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.50,0.00,3469,0.000,0.000,0.000,
1,0.00,0.000,0,13.68,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,13.68,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,13.86,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,13.86,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,14.04,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,14.04,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,14.22,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,14.22,0.00,3669,0.000,0.000,0.000,
1,0.00,0.000,0,14.40,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.40,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.58,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.58,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.76,0.00,3869,0.000,0.000,0.000,
2,0.00,0.000,0,14.76,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.76,0.00,3869,0.000,0.000,0.000,
2,0.00,0.000,0,14.76,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.94,0.00,3869,0.000,0.000,0.000,
2,0.00,0.000,0,14.94,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,14.94,0.00,3869,0.000,0.000,0.000,
2,0.00,0.000,0,14.94,0.00,3869,0.000,0.000,0.000,
1,0.00,0.000,0,15.12,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.12,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.12,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.12,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.30,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.30,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.30,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.30,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.48,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.48,0.00,4069,0.000,0.000,0.000,
12,0.00,0.000,0,15.48,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.48,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.48,0.00,4069,0.000,0.000,0.000,
12,0.00,0.000,0,15.48,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.66,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.66,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.66,0.00,4069,0.000,0.000,0.000,
2,0.00,0.000,0,15.66,0.00,4069,0.000,0.000,0.000,
1,0.00,0.000,0,15.84,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,15.84,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,15.84,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,15.84,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.02,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,16.02,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.02,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,16.02,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.20,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,16.20,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.20,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,16.20,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.38,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,16.38,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.38,0.00,4269,0.000,0.000,0.000,
2,0.00,0.000,0,16.38,0.00,4269,0.000,0.000,0.000,
1,0.00,0.000,0,16.56,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,16.56,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,16.56,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,16.56,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,16.74,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,16.74,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,16.74,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,16.74,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,16.92,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,16.92,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,16.92,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,16.92,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,17.10,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,17.10,0.00,4469,0.000,0.000,0.000,
1,0.00,0.000,0,17.10,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,17.10,0.00,4469,0.000,0.000,0.000,
2,0.00,0.000,0,17.28,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.28,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.28,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.28,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.46,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.46,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.46,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.46,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.64,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.64,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.64,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.64,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.82,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.82,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,17.82,0.00,4669,0.000,0.000,0.000,
3,0.00,0.000,0,17.82,0.00,4669,0.000,0.000,0.000,
2,0.00,0.000,0,18.00,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.00,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.00,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.00,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.18,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.18,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.18,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.18,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.36,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.36,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.36,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.36,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.54,0.00,4869,0.000,0.000,0.000,
3,0.00,0.000,0,18.54,0.00,4869,0.000,0.000,0.000,
2,0.00,0.000,0,18.54,0.00,4869,0.000,0.000,0.000,
